2020-03-30,Allegan,3,0
2020-03-30,Antrim,3,0
2020-03-30,Arenac,1,0
2020-03-30,Barry,2,0
2020-03-30,Bay,9,0
2020-03-30,Berrien,35,1
2020-03-30,Branch,2,0
2020-03-30,Calhoun,17,0
2020-03-30,Cass,4,1
2020-03-30,Charlevoix,4,0
2020-03-30,Cheboygan,1,0
2020-03-30,Chippewa,1,0
2020-03-30,Clare,1,0
2020-03-30,Clinton,24,0
2020-03-30,Crawford,1,0
2020-03-30,Delta,1,0
2020-03-30,Detroit City,2080,75
2020-03-30,Eaton,21,0
2020-03-30,Emmet,5,0
2020-03-30,Genesee,185,7
2020-03-30,Gladwin,2,0
2020-03-30,Gogebic,2,1
2020-03-30,Grand Traverse,7,0
2020-03-30,Gratiot,3,0
2020-03-30,Hillsdale,14,1
2020-03-30,Houghton,1,0
2020-03-30,Huron,3,0
2020-03-30,Ingham,91,0
2020-03-30,Ionia,4,0
2020-03-30,Iosco,1,0
2020-03-30,Isabella,6,1
2020-03-30,Jackson,47,1
2020-03-30,Kalamazoo,24,1
2020-03-30,Kalkaska,7,1
2020-03-30,Kent,108,1
2020-03-30,Lapeer,8,0
2020-03-30,Leelanau,1,0
2020-03-30,Lenawee,18,0
2020-03-30,Livingston,80,2
2020-03-30,Macomb,853,38
2020-03-30,Manistee,1,0
2020-03-30,Marquette,4,0
2020-03-30,Mecosta,3,1
2020-03-30,Midland,10,0
2020-03-30,Missaukee,1,1
2020-03-30,Monroe,49,0
2020-03-30,Montcalm,5,0
2020-03-30,Muskegon,18,2
2020-03-30,Newaygo,1,0
2020-03-30,Oakland,1591,70
2020-03-30,Oceana,2,0
2020-03-30,Ogemaw,1,0
2020-03-30,Osceola,2,0
2020-03-30,Oscoda,2,0
2020-03-30,Otsego,19,0
2020-03-30,Ottawa,31,0
2020-03-30,Roscommon,1,0
2020-03-30,Saginaw,51,0
2020-03-30,Sanilac,7,0
2020-03-30,Schoolcraft,1,0
2020-03-30,Shiawassee,8,0
2020-03-30,St. Clair,32,0
2020-03-30,St. Joseph,4,0
2020-03-30,Tuscola,9,2
2020-03-30,Van Buren,7,0
2020-03-30,Washtenaw,305,7
2020-03-30,Wayne,1655,45
2020-03-30,Wexford,2,0
2020-03-30,Other*,93,0
2020-03-30,Out of State,20,0
