4/10/2020, Antrim,6,0
4/10/2020, Arenac,4,0
4/10/2020, Barry,7,0
4/10/2020, Bay,48,0
4/10/2020, Berrien,88,2
4/10/2020, Branch,25,2
4/10/2020, Calhoun,65,1
4/10/2020, Cass,12,1
4/10/2020, Charlevoix,10,1
4/10/2020, Cheboygan,10,1
4/10/2020, Clare,3,1
4/10/2020, Clinton,90,3
4/10/2020, Crawford,5,1
4/10/2020, Delta,9,1
4/10/2020, Detroit City,6218,327
4/10/2020, Dickinson,3,1
4/10/2020, Eaton,69,4
4/10/2020, Emmet,17,2
4/10/2020, Genesee,828,57
4/10/2020, Gladwin,4,0
4/10/2020, Gogebic,4,1
4/10/2020, Grand Traverse,16,3
4/10/2020, Gratiot,6,0
4/10/2020, Hillsdale,70,6
4/10/2020, Houghton,1,0
4/10/2020, Huron,5,0
4/10/2020, Ingham,239,3
4/10/2020, Ionia,14,2
4/10/2020, Iosco,5,1
4/10/2020, Isabella,37,2
4/10/2020, Jackson,140,4
4/10/2020, Kalamazoo,77,7
4/10/2020, Kalkaska,10,2
4/10/2020, Kent,250,13
4/10/2020, Lapeer,87,6
4/10/2020, Leelanau,4,0
4/10/2020, Lenawee,29,0
4/10/2020, Livingston,196,3
4/10/2020, Luce,1,0
4/10/2020, Mackinac,4,0
4/10/2020, Macomb,2973,197
4/10/2020, Manistee,9,0
4/10/2020, Marquette,21,2
4/10/2020, Mason,1,0
4/10/2020, Mecosta,11,1
4/10/2020, Menominee,1,0
4/10/2020, Midland,28,1
4/10/2020, Missaukee,1,1
4/10/2020, Monroe,174,4
4/10/2020, Montcalm,20,1
4/10/2020, Muskegon,57,4
4/10/2020, Newaygo,4,0
4/10/2020, Oakland,4511,282
4/10/2020, Oceana,3,1
4/10/2020, Ogemaw,3,0
4/10/2020, Osceola,3,0
4/10/2020, Oscoda,3,0
4/10/2020, Otsego,29,2
4/10/2020, Ottawa,61,2
4/10/2020, Presque Isle,2,0
4/10/2020, Roscommon,8,0
4/10/2020, Saginaw,240,9
4/10/2020, Sanilac,23,2
4/10/2020, Schoolcraft,1,0
4/10/2020, Shiawassee,34,0
4/10/2020, St Clair,179,4
4/10/2020, St Joseph,20,0
4/10/2020, Tuscola,41,5
4/10/2020, Van Buren,20,1
4/10/2020, Washtenaw,659,15
4/10/2020, Wayne,4321,282
4/10/2020, Wexford,7,0
4/10/2020, MDOC*,336,5
4/10/2020, FCI**,14,0
4/10/2020, Unknown,84,2
4/10/2020, Out of State,137,1
,,,
,,,
,,,
,,,
